,Start Date,End Date,Approving,Disapproving,Unsure/NoData,Approve_rolling,Disapprove_rolling,Unsure_rolling,Approve_change,Disapprove_change,Unsure_change,week_number,year,week_year
0,1/19/2009,2009-01-25,67,13,20,65.5,19.5,15.0,-2.2900763358778624,33.33333333333333,-33.33333333333333,4,2009,4-2009
1,1/26/2009,2009-02-01,66,18,16,64.5,21.5,14.0,-2.3255813953488373,16.27906976744186,-14.285714285714285,5,2009,5-2009
2,2/2/2009,2009-02-08,65,21,14,63.0,23.5,13.5,-3.1746031746031744,10.638297872340425,-3.7037037037037033,6,2009,6-2009
3,2/9/2009,2009-02-15,64,22,14,63.0,24.0,13.0,-1.5873015873015872,8.333333333333332,-7.6923076923076925,7,2009,7-2009
4,2/16/2009,2009-02-22,62,25,13,63.0,25.0,12.0,1.5873015873015872,0.0,-8.333333333333332,8,2009,8-2009
5,2/23/2009,2009-03-01,64,23,13,62.0,27.5,10.5,-3.225806451612903,16.363636363636363,-23.809523809523807,9,2009,9-2009
6,3/2/2009,2009-03-08,62,27,11,62.5,27.0,10.5,0.8,0.0,-4.761904761904762,10,2009,10-2009
7,3/9/2009,2009-03-15,62,28,10,62.0,27.5,10.5,0.0,-1.8181818181818181,4.761904761904762,11,2009,11-2009
8,3/16/2009,2009-03-22,63,26,11,61.5,28.5,10.0,-2.4390243902439024,8.771929824561402,-10.0,12,2009,12-2009
9,3/23/2009,2009-03-29,61,29,10,61.5,28.0,10.5,0.8130081300813009,-3.571428571428571,4.761904761904762,13,2009,13-2009
10,3/30/2009,2009-04-05,62,28,10,61.5,28.5,10.0,-0.8130081300813009,1.7543859649122806,0.0,14,2009,14-2009
11,4/6/2009,2009-04-12,61,28,11,63.5,29.0,7.5,3.937007874015748,3.4482758620689653,-46.666666666666664,15,2009,15-2009
12,4/13/2009,2009-04-19,62,29,9,65.0,29.0,6.0,4.615384615384616,0.0,-50.0,16,2009,16-2009
13,4/20/2009,2009-04-26,65,29,6,65.5,28.0,6.5,0.7633587786259541,-3.571428571428571,7.6923076923076925,17,2009,17-2009
14,4/27/2009,2009-05-03,65,29,6,65.0,28.0,7.0,0.0,-3.571428571428571,14.285714285714285,18,2009,18-2009
15,5/4/2009,2009-05-10,66,27,7,64.0,28.5,7.5,-3.125,5.263157894736842,6.666666666666667,19,2009,19-2009
16,5/11/2009,2009-05-17,64,29,7,63.5,29.0,7.5,-0.7874015748031495,0.0,6.666666666666667,20,2009,20-2009
17,5/18/2009,2009-05-24,64,28,8,62.5,30.5,7.0,-2.4,8.19672131147541,-14.285714285714285,21,2009,21-2009
18,5/25/2009,2009-05-31,63,30,7,61.5,31.0,7.5,-2.4390243902439024,3.225806451612903,6.666666666666667,22,2009,22-2009
19,6/1/2009,2009-06-07,62,31,7,60.0,32.5,7.5,-3.3333333333333335,4.615384615384616,6.666666666666667,23,2009,23-2009
20,6/8/2009,2009-06-14,61,31,8,59.5,33.5,7.0,-2.5210084033613445,7.462686567164178,-14.285714285714285,24,2009,24-2009
21,6/15/2009,2009-06-21,59,34,7,60.0,32.5,7.5,1.6666666666666667,-4.615384615384616,6.666666666666667,25,2009,25-2009
22,6/22/2009,2009-06-28,60,33,7,59.0,33.0,8.0,-1.694915254237288,0.0,12.5,26,2009,26-2009
23,6/29/2009,2009-07-05,60,32,8,58.5,33.5,8.0,-2.564102564102564,4.477611940298507,0.0,27,2009,27-2009
24,7/6/2009,2009-07-12,58,34,8,57.5,35.5,7.0,-0.8695652173913043,4.225352112676056,-14.285714285714285,28,2009,28-2009
25,7/13/2009,2009-07-19,59,33,8,55.0,38.5,6.5,-7.2727272727272725,14.285714285714285,-23.076923076923077,29,2009,29-2009
26,7/20/2009,2009-07-26,56,38,6,55.0,38.0,7.0,-1.8181818181818181,0.0,14.285714285714285,30,2009,30-2009
27,7/27/2009,2009-08-02,54,39,7,55.0,38.5,6.5,1.8181818181818181,-1.2987012987012987,-7.6923076923076925,31,2009,31-2009
28,8/3/2009,2009-08-09,56,37,7,53.0,40.5,6.5,-5.660377358490567,8.641975308641975,-7.6923076923076925,32,2009,32-2009
